Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
1;"GANTENG TAPI BERENGSEK!!! BUAT APA?!!
WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!";1;1;1;0;0;0;0;0;1;1;0;0;ganteng tapi berengsek buat apa who do you think you are you are nothing to me remember this ;0;1;0;0;0;0;0;0;0;0;0;0
5;USER USER Jgn salah itu janji jokowi yg di tuntut. Lu ajh yg gx paham cebong';1;1;1;0;0;0;0;0;1;1;0;0;user user jangan salah itu janji jokowi  di tuntut kamu saja  tidak paham kecebong ;1;1;1;1;0;0;0;0;1;1;0;0
6;USER Khan yg ngajarin si garong kafir';1;1;1;0;1;0;0;0;0;1;0;0;user   mengajarkan  garong kafir ;1;1;0;0;0;0;0;0;0;0;0;0
8;USER Anak pecun... ga jauh2 dr hobi zina.. haha';1;1;1;0;0;0;0;1;0;1;0;0;user anak pecun tidak jauh jauh dari hobi zina  ;0;0;0;0;0;0;0;0;0;0;0;0
9;"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'";0;0;0;0;0;0;0;0;0;0;0;0;user sudah siap di demo berjilid jilid sama bani cingkrang malaysia memberlakukan syariat islam tapi melegalkan perjudian dengan berbagai syarat dan ketentuan  strict ;1;0;0;0;0;0;0;0;0;0;0;0
12;USER Jancuk! Pingin gue tabok itu anak';1;1;1;0;0;0;0;0;1;1;0;0;user jancuk ingin aku tabok itu anak ;0;1;0;0;0;0;0;0;0;0;0;0
20;USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO';1;1;1;0;0;0;0;0;1;1;0;0;user kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon seperti durno ;1;0;1;0;0;0;0;0;1;1;0;0
22;RT USER: Ya, saya bajingan\nTERIMA KASIH';0;1;0;0;0;0;0;0;0;0;0;0;rt user  saya bajingan terima kasih ;1;1;0;0;0;0;0;0;0;0;0;0
23;#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha;1;1;1;0;0;1;0;0;0;1;0;0; mata najwa debat jakarta lucu banget jawaban ahok tidak menyambung ditanya apa di jawab apa kena sekak mat di pertanyaan isu agama tadi dasar cina tolol ;1;1;1;0;0;0;0;0;0;1;0;0
25;USER Astagaaa.. Sewa pecun skalian ga pak?';0;1;0;0;0;0;0;0;0;0;0;0;user astaga sewa pecun sekalian tidak pak ;1;0;0;0;0;0;0;1;0;0;0;0
33;"When you cheat and ""win"" you've distinguished yourself as a LOSER!  #ShameOnYouMalaysia #SEAGames2017";1;0;0;1;0;0;0;0;1;0;1;0;when you cheat and menang you ve distinguished yourself as a loser shame on you malaysia sea games ;0;0;0;1;0;0;0;0;0;0;0;0
38;Why doe your bio. Look so fake? Are you a liar? Why are you such a liar? Nobody likes a liar. You should be proud of who you are. Stop lying;1;0;1;0;0;0;0;0;1;1;0;0;kenapa doe your bio look so fake are you a liar kenapa are you such a liar nobody likes a liar you should be proud of who you are stop lying;1;0;0;0;0;0;0;0;1;0;0;0
39;educate your self a lil before saying things like this. Upin Ipin movie and Munafik doing so well here. It's 2020, narrow minded mind stay behind.;1;0;1;0;0;0;0;0;1;1;0;0;educate your self a little sebelum saying berpikir like this upin ipin film and munafik doing so well here it narrow minded mind stay behind ;0;0;0;0;0;0;0;0;0;0;0;0
40;anyway wht can u do if i tell you about all the problems we face? u will keep on supporting umno and try to defend them. pls just fuck off from my mentions and go study about ur stupid lovely umno. study lah dr era tunku, tun m, najib. umno bangsat! sekian,,,,;1;1;1;0;0;0;0;0;1;1;0;0;anyway what can kamu do if i tell you about all the problems we face kamu will keep on supporting umno and try to defend them tolong just fuck off from my mentions and go study about kamu bodoh lovely umno study  dari era tunku tun sama najib umno bangsat sekian ;1;1;0;0;0;0;0;0;0;0;0;0
41;Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong.;1;0;0;1;1;1;0;0;0;0;0;1; hanya cina non muslim  dibantai itu  user juga cina usir juga  ;1;0;0;1;0;1;0;0;0;0;0;1
47;USER Secara teknis dia baik mau balikin lu straight tapi cuma cara dia aja yg ga etis..gua bilang sama lu gimana sakitnya mantan ketika putus sama elu dia ada di jalur yg salah,hey bro gua ngalamin kok,setelah gua sama mantan gua putus,mantan gu;0;0;0;0;0;0;0;0;0;0;0;0;user secara teknis dia baik mau kembalikan kamu straight tapi hanya cara dia saja  tidak etis aku bilang sama kamu bagaimana sakitnya mantan ketika putus sama kamu dia ada di jalur  salah he bro aku mengalami  setelah aku sama mantan aku putus mantan gu;0;1;0;0;0;0;0;0;0;0;0;0
48;"I know. I hate her because she looks bitchy and really ""kampungan"" and she's always stuck with me everywhere I go (mostly on school) ugh";1;1;1;0;0;0;0;1;0;1;0;0;i know i hate her because she looks bitchy and really kampungan and she always stuck dengan me everywhere i go paling banyak on school ;0;1;0;0;0;0;0;0;0;0;0;0
